AOIName,FixationDuration,Stimulus,Participant
8,76,Task1CM,615db7bf
7,78,Task1CM,615db7bf
8,0,Task1CM,615db7bf
1,188,Task1CM,615db7bf
0,847,Task1CM,615db7bf
1,139,Task1CM,615db7bf
0,988,Task1CM,615db7bf
8,109,Task1CM,615db7bf
11,231,Task1CM,615db7bf
14,0,Task1CM,615db7bf
11,77,Task1CM,615db7bf
13,261,Task1CM,615db7bf
14,631,Task1CM,615db7bf
0,124,Task1CM,615db7bf
2,0,Task1CM,615db7bf
0,150,Task1CM,615db7bf
11,401,Task1CM,615db7bf
3,61,Task1CM,615db7bf
0,247,Task1CM,615db7bf
1,422,Task1CM,615db7bf
0,0,Task1CM,615db7bf
1,155,Task1CM,615db7bf
0,140,Task1CM,615db7bf
2,230,Task1CM,615db7bf
1,90,Task1CM,615db7bf
3,138,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,0,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,741,Task1CM,615db7bf
3,305,Task1CM,615db7bf
2,0,Task1CM,615db7bf
0,0,Task1CM,615db7bf
1,227,Task1CM,615db7bf
0,47,Task1CM,615db7bf
3,263,Task1CM,615db7bf
0,46,Task1CM,615db7bf
3,276,Task1CM,615db7bf
0,77,Task1CM,615db7bf
2,106,Task1CM,615db7bf
0,0,Task1CM,615db7bf
1,309,Task1CM,615db7bf
2,138,Task1CM,615db7bf
0,109,Task1CM,615db7bf
2,173,Task1CM,615db7bf
0,0,Task1CM,615db7bf
3,278,Task1CM,615db7bf
0,62,Task1CM,615db7bf
3,62,Task1CM,615db7bf
1,0,Task1CM,615db7bf
0,47,Task1CM,615db7bf
3,276,Task1CM,615db7bf
0,46,Task1CM,615db7bf
4,277,Task1CM,615db7bf
1,64,Task1CM,615db7bf
3,93,Task1CM,615db7bf
4,139,Task1CM,615db7bf
1,77,Task1CM,615db7bf
3,107,Task1CM,615db7bf
4,1186,Task1CM,615db7bf
2,91,Task1CM,615db7bf
4,46,Task1CM,615db7bf
5,158,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,164,Task1CM,615db7bf
2,46,Task1CM,615db7bf
4,198,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,45,Task1CM,615db7bf
4,260,Task1CM,615db7bf
2,77,Task1CM,615db7bf
4,139,Task1CM,615db7bf
2,216,Task1CM,615db7bf
4,229,Task1CM,615db7bf
2,77,Task1CM,615db7bf
4,154,Task1CM,615db7bf
1,93,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,219,Task1CM,615db7bf
3,77,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,232,Task1CM,615db7bf
3,61,Task1CM,615db7bf
5,221,Task1CM,615db7bf
4,91,Task1CM,615db7bf
7,260,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,47,Task1CM,615db7bf
7,263,Task1CM,615db7bf
5,46,Task1CM,615db7bf
9,248,Task1CM,615db7bf
7,62,Task1CM,615db7bf
9,277,Task1CM,615db7bf
7,79,Task1CM,615db7bf
10,226,Task1CM,615db7bf
5,77,Task1CM,615db7bf
9,77,Task1CM,615db7bf
7,77,Task1CM,615db7bf
3,236,Task1CM,615db7bf
0,60,Task1CM,615db7bf
1,47,Task1CM,615db7bf
3,187,Task1CM,615db7bf
1,77,Task1CM,615db7bf
13,412,Task1CM,615db7bf
11,0,Task1CM,615db7bf
6,354,Task1CM,615db7bf
4,37,Task1CM,615db7bf
2,92,Task1CM,615db7bf
4,229,Task1CM,615db7bf
0,93,Task1CM,615db7bf
11,0,Task1CM,615db7bf
2,124,Task1CM,615db7bf
1,270,Task1CM,615db7bf
2,102,Task1CM,615db7bf
0,0,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,139,Task1CM,615db7bf
1,137,Task1CM,615db7bf
0,0,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,150,Task1CM,615db7bf
2,156,Task1CM,615db7bf
1,47,Task1CM,615db7bf
14,29,Task1CM,615db7bf
13,15,Task1CM,615db7bf
1,264,Task1CM,615db7bf
0,0,Task1CM,615db7bf
2,217,Task1CM,615db7bf
0,78,Task1CM,615db7bf
1,140,Task1CM,615db7bf
0,153,Task1CM,615db7bf
2,105,Task1CM,615db7bf
0,221,Task1CM,615db7bf
2,138,Task1CM,615db7bf
4,92,Task1CM,615db7bf
1,45,Task1CM,615db7bf
4,241,Task1CM,615db7bf
0,77,Task1CM,615db7bf
2,61,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,154,Task1CM,615db7bf
0,91,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,678,Task1CM,615db7bf
0,93,Task1CM,615db7bf
3,215,Task1CM,615db7bf
0,78,Task1CM,615db7bf
1,0,Task1CM,615db7bf
3,154,Task1CM,615db7bf
0,107,Task1CM,615db7bf
4,139,Task1CM,615db7bf
0,0,Task1CM,615db7bf
1,78,Task1CM,615db7bf
3,33,Task1CM,615db7bf
1,92,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,0,Task1CM,615db7bf
2,0,Task1CM,615db7bf
1,262,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,187,Task1CM,615db7bf
1,77,Task1CM,615db7bf
3,263,Task1CM,615db7bf
1,92,Task1CM,615db7bf
3,46,Task1CM,615db7bf
4,137,Task1CM,615db7bf
2,0,Task1CM,615db7bf
1,77,Task1CM,615db7bf
3,276,Task1CM,615db7bf
1,77,Task1CM,615db7bf
4,261,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,427,Task1CM,615db7bf
3,45,Task1CM,615db7bf
4,185,Task1CM,615db7bf
1,93,Task1CM,615db7bf
3,260,Task1CM,615db7bf
1,93,Task1CM,615db7bf
3,138,Task1CM,615db7bf
1,219,Task1CM,615db7bf
2,46,Task1CM,615db7bf
3,190,Task1CM,615db7bf
1,93,Task1CM,615db7bf
3,528,Task1CM,615db7bf
0,93,Task1CM,615db7bf
2,0,Task1CM,615db7bf
0,231,Task1CM,615db7bf
2,34,Task1CM,615db7bf
1,46,Task1CM,615db7bf
3,199,Task1CM,615db7bf
1,93,Task1CM,615db7bf
3,535,Task1CM,615db7bf
4,0,Task1CM,615db7bf
3,38,Task1CM,615db7bf
1,0,Task1CM,615db7bf
2,46,Task1CM,615db7bf
3,78,Task1CM,615db7bf
2,0,Task1CM,615db7bf
1,230,Task1CM,615db7bf
2,353,Task1CM,615db7bf
3,93,Task1CM,615db7bf
2,215,Task1CM,615db7bf
3,91,Task1CM,615db7bf
2,175,Task1CM,615db7bf
4,540,Task1CM,615db7bf
2,215,Task1CM,615db7bf
4,226,Task1CM,615db7bf
2,77,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,229,Task1CM,615db7bf
4,401,Task1CM,615db7bf
1,77,Task1CM,615db7bf
3,261,Task1CM,615db7bf
2,46,Task1CM,615db7bf
5,230,Task1CM,615db7bf
2,76,Task1CM,615db7bf
4,15,Task1CM,615db7bf
5,216,Task1CM,615db7bf
2,47,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,216,Task1CM,615db7bf
2,92,Task1CM,615db7bf
4,276,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,89,Task1CM,615db7bf
5,140,Task1CM,615db7bf
2,77,Task1CM,615db7bf
4,1490,Task1CM,615db7bf
6,0,Task1CM,615db7bf
4,1255,Task1CM,615db7bf
11,29,Task1CM,615db7bf
4,1339,Task1CM,615db7bf
13,0,Task1CM,615db7bf
4,1707,Task1CM,615db7bf
2,93,Task1CM,615db7bf
5,230,Task1CM,615db7bf
3,93,Task1CM,615db7bf
4,77,Task1CM,615db7bf
3,232,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,92,Task1CM,615db7bf
3,215,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,230,Task1CM,615db7bf
3,92,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,216,Task1CM,615db7bf
3,93,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,215,Task1CM,615db7bf
3,46,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,178,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,47,Task1CM,615db7bf
11,0,Task1CM,615db7bf
4,139,Task1CM,615db7bf
3,215,Task1CM,615db7bf
5,43,Task1CM,615db7bf
4,223,Task1CM,615db7bf
6,107,Task1CM,615db7bf
5,92,Task1CM,615db7bf
7,399,Task1CM,615db7bf
4,46,Task1CM,615db7bf
5,61,Task1CM,615db7bf
4,0,Task1CM,615db7bf
3,166,Task1CM,615db7bf
4,0,Task1CM,615db7bf
5,93,Task1CM,615db7bf
8,215,Task1CM,615db7bf
9,0,Task1CM,615db7bf
8,0,Task1CM,615db7bf
9,140,Task1CM,615db7bf
4,105,Task1CM,615db7bf
2,214,Task1CM,615db7bf
3,676,Task1CM,615db7bf
1,215,Task1CM,615db7bf
2,93,Task1CM,615db7bf
1,214,Task1CM,615db7bf
2,92,Task1CM,615db7bf
0,231,Task1CM,615db7bf
3,61,Task1CM,615db7bf
2,0,Task1CM,615db7bf
1,230,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,215,Task1CM,615db7bf
1,91,Task1CM,615db7bf
3,264,Task1CM,615db7bf
1,46,Task1CM,615db7bf
3,139,Task1CM,615db7bf
1,230,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,173,Task1CM,615db7bf
1,92,Task1CM,615db7bf
3,536,Task1CM,615db7bf
4,138,Task1CM,615db7bf
2,93,Task1CM,615db7bf
4,93,Task1CM,615db7bf
3,45,Task1CM,615db7bf
4,341,Task1CM,615db7bf
3,35,Task1CM,615db7bf
1,46,Task1CM,615db7bf
2,401,Task1CM,615db7bf
4,37,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,231,Task1CM,615db7bf
4,653,Task1CM,615db7bf
2,108,Task1CM,615db7bf
4,169,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,107,Task1CM,615db7bf
1,246,Task1CM,615db7bf
3,92,Task1CM,615db7bf
1,218,Task1CM,615db7bf
3,40,Task1CM,615db7bf
4,125,Task1CM,615db7bf
3,47,Task1CM,615db7bf
1,0,Task1CM,615db7bf
0,230,Task1CM,615db7bf
2,0,Task1CM,615db7bf
3,46,Task1CM,615db7bf
4,139,Task1CM,615db7bf
1,46,Task1CM,615db7bf
4,262,Task1CM,615db7bf
5,231,Task1CM,615db7bf
2,92,Task1CM,615db7bf
3,403,Task1CM,615db7bf
4,29,Task1CM,615db7bf
2,231,Task1CM,615db7bf
3,0,Task1CM,615db7bf
4,217,Task1CM,615db7bf
2,46,Task1CM,615db7bf
4,245,Task1CM,615db7bf
3,215,Task1CM,615db7bf
4,0,Task1CM,615db7bf
3,73,Task1CM,615db7bf
2,91,Task1CM,615db7bf
5,216,Task1CM,615db7bf
3,92,Task1CM,615db7bf
5,276,Task1CM,615db7bf
4,585,Task1CM,615db7bf
5,199,Task1CM,615db7bf
3,77,Task1CM,615db7bf
5,0,Task1CM,615db7bf
6,179,Task1CM,615db7bf
4,0,Task1CM,615db7bf
3,46,Task1CM,615db7bf
4,276,Task1CM,615db7bf
3,33,Task1CM,615db7bf
13,107,Task1CM,615db7bf
11,399,Task1CM,615db7bf
4,154,Task1CM,615db7bf
2,1354,Task1CM,615db7bf
3,123,Task1CM,615db7bf
6,1962,Task1CM,615db7bf
7,568,Task1CM,615db7bf
6,297,Task1CM,615db7bf
7,324,Task1CM,615db7bf
4,41,Task1CM,615db7bf
3,982,Task1CM,615db7bf
4,1407,Task1CM,615db7bf
3,2159,Task1CM,615db7bf
2,94,Task1CM,615db7bf
6,711,Task1CM,615db7bf
8,230,Task1CM,615db7bf
9,15,Task1CM,615db7bf
8,131,Task1CM,615db7bf
4,93,Task1CM,615db7bf
6,262,Task1CM,615db7bf
4,92,Task1CM,615db7bf
6,276,Task1CM,615db7bf
8,307,Task1CM,615db7bf
7,46,Task1CM,615db7bf
8,0,Task1CM,615db7bf
9,0,Task1CM,615db7bf
7,230,Task1CM,615db7bf
4,184,Task1CM,615db7bf
0,92,Task1CM,615db7bf
2,275,Task1CM,615db7bf
0,16,Task1CM,615db7bf
6,372,Task1CM,615db7bf
5,314,Task1CM,615db7bf
13,124,Task1CM,615db7bf
11,46,Task1CM,615db7bf
7,0,Task1CM,615db7bf
6,355,Task1CM,615db7bf
7,16,Task1CM,615db7bf
8,107,Task1CM,615db7bf
9,31,Task1CM,615db7bf
10,37,Task1CM,615db7bf
9,31,Task1CM,615db7bf
6,309,Task1CM,615db7bf
8,47,Task1CM,615db7bf
13,0,Task1CM,615db7bf
4,170,Task1CM,615db7bf
1,566,Task1CM,615db7bf
0,232,Task1CM,615db7bf
16,15,Task1CM,615db7bf
13,47,Task1CM,615db7bf
9,138,Task1CM,615db7bf
5,137,Task1CM,615db7bf
6,154,Task1CM,615db7bf
3,2256,Task1CM,615db7bf
4,107,Task1CM,615db7bf
6,757,Task1CM,615db7bf
7,54,Task1CM,615db7bf
5,757,Task1CM,615db7bf
4,693,Task1CM,615db7bf
3,414,Task1CM,615db7bf
8,278,Task1CM,615db7bf
7,643,Task1CM,615db7bf
9,247,Task1CM,615db7bf
5,0,Task1CM,615db7bf
4,281,Task1CM,615db7bf
13,217,Task1CM,615db7bf
4,263,Task1CM,615db7bf
5,554,Task1CM,615db7bf
